[2018-11-12 00:56:19,382]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #16 {promotion id=16, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "'admin' {id=1}" (##userId='1' type='user'). Started 2018-11-12 00:56:13.008, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 00:59:52,412]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=17, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2018-11-12 00:59:52,435]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #17 {promotion id=17, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 00:59:52.425, running}
[2018-11-12 01:01:08,056]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Server Social / Server Social {id=ServerSocial, internal id=bt1} #17 {promotion id=17, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 00:59:52.980, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 01:04:52,575]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=18, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2018-11-12 01:04:52,584]   INFO - tbrains.buildServer.ACTIVITIES - Build started; Server Social / Server Social {id=ServerSocial, internal id=bt1} #18 {promotion id=18, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 01:04:52.579, running}
[2018-11-12 01:04:54,614]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_external_id_change: "Server Social {id=Sharifyr, internal id=project1}" project ID was changed from "ServerSocial" to "Sharifyr" by "'admin' {id=1}"
[2018-11-12 01:04:54,634]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "Sharifyr {id=Sharifyr, internal id=project1}" project settings were edited ("version before: 1, version after: 2") by "'admin' {id=1}" with comment "project settings were updated"
[2018-11-12 01:06:04,788]   INFO - tbrains.buildServer.ACTIVITIES - Finished build Sharifyr / Server Social {id=ServerSocial, internal id=bt1} #18 {promotion id=18, agent="dockerteamcity_teamcity-agent_1" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2018-11-12 01:04:53.127, finished. Status "FAILURE 'Exit code 1 (Step: NPM Tests (Command Line))'"}
[2018-11-12 01:07:32,662]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=19, configuration={id=ServerSocial, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
